Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
24h	2	2.24.3	2.397	2.397	46.34	T40356_20221122_1523_054_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.67	2029.92	0.04634	2214.54
24h	2	2.24.3	2.396	2.396	50.04	T40356_20221122_1523_054_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.67	2029.92	0.05004	2214.54
24h	3	3.24.1	2.395	2.395	50.09	T40356_20221122_1646_062_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.37	2029.92	0.05009	2214.54
24h	3	3.24.1	2.392	2.392	53.31	T40356_20221122_1646_062_Tdata3	SS20221120_1	2342	0.1	0.1018	2	33.37	2029.92	0.05331	2214.54
24h	3	3.24.2	2.427	2.427	48.28	T40356_20221122_1657_063_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.54	2029.92	0.04828	2214.54
24h	3	3.24.2	2.43	2.43	48.25	T40356_20221122_1657_063_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.54	2029.92	0.04825	2214.54
24h	3	3.24.3	2.426	2.426	52.68	T40356_20221122_1712_064_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.70	2029.92	0.05268	2214.54
24h	3	3.24.3	2.437	2.437	54.95	T40356_20221122_1712_064_Tdata3	SS20221120_1	2342	0.1	0.1018	2	33.70	2029.92	0.05495	2214.54
24h	4	4.24.1	2.334	2.334	48.63	T40356_20221122_1726_065_Tdata1	SS20221120_1	2342	0.1	0.1018	2	33.40	2029.92	0.04863	2214.54
24h	4	4.24.1	2.337	2.337	48.87	T40356_20221122_1726_065_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.40	2029.92	0.04887	2214.54
